NOME|CPF|ENDERECO|LEITURAANTERIOR|LEITURAATUAL|CONSUMO|VALOR|MES|ANO
MARIA|12345678901|RUA 1|74|111|37|263,03316|2|2017
PUC|000111222000122|RUA 2|0|1000|900|12797,7088|2|2017
MARIA|12345678901|RUA 1|111|8000|7889|122605,35887|10|2017
PUC|000111222000122|RUA 2|1000|9000|8000|102879,4488|2|2017
ANA|12345678902|RUA 3|0|37|37|263,03|10|2017
ANA|12345678902|RUA 3|37|39|2|32,42|3|2017
BRENO|123456789|RUA B|0|1000|1000|15453,65|1|2017
BRENO|123456789|RUA B|1000|1800|800|12342,84|2|2017
BRENO|123456789|RUA B|1800|2000|200|3010,42|3|2017
BRENO|123456789|RUA B|2000|2200|200|3010,42|4|2017
BRENO|123456789|RUA B|2200|2500|300|4565,83|5|2017
BRENO|123456789|RUA B|2500|2600|100|1455,02|6|2017
BRENO|123456789|RUA B|2600|2700|100|1455,02|7|2017
BRENO|123456789|RUA B|2700|3000|300|4565,83|8|2017
BRENO|123456789|RUA B|3000|3200|200|3010,42|9|2017
BRENO|123456789|RUA B|3200|3500|300|4565,83|10|2017
BRENO|123456789|RUA B|3500|3600|100|1455,02|11|2017
BRENO|123456789|RUA B|3600|3650|50|677,32|12|2017
